Year,Week,percentage
2003,22,0.021759379291139726
2003,23,0.05435799236788522
2003,24,0.08422798224375042
2003,25,0.055541387509821634
2003,26,0.026577881593444493
2003,27,0.06815821400768812
2003,28,0.06584921521083144
2003,29,0.03957742490221589
2003,30,0.07160054816598709
2003,31,0.07311418046852729
2003,32,0.05751709725001834
2003,33,0.056138471877398725
2003,34,0.060240938882279056
2003,35,0.08129548078477976
2003,36,0.03531433928850461
2003,37,0.05845302266562089
2003,38,0.036452499395229015
2003,39,0.036826458565589
2003,40,0.023060051550517907
2003,41,0.04255098964109221
2003,42,0.022278921398558266
2003,43,0.038758046486528155
2003,44,0.02141802677803845
2003,45,0.04966692287001907
2003,46,0.03960662028545622
2003,47,0.06673508556805459
2003,48,0.026812950851305802
2003,49,0.06408894327539447
2003,50,0.05878951403315525
2003,51,0.025960880981989735
2003,52,0.057454493359795016
2004,1,0.06203834785698714
2004,2,0.06307909121084979
2004,3,0.06906457349675801
2004,4,0.06112653802823575
2004,5,0.09106793076338827
2004,6,0.07341102967679923
2004,7,0.05757752477390909
2004,8,0.03147182026203678
2004,9,0.06339412919870108
2004,10,0.052794145119839236
2004,11,0.025798587549322675
2004,12,0.04267350976706616
2004,13,0.016706971577044198
2004,14,0.029161947023824342
2004,15,0.02935286463035731
2004,16,0.05104257324425239
2004,17,0.04180623220286374
2004,18,0.04801365267544427
2004,19,0.04985891227714397
2004,20,0.07074660352697981
2004,21,0.06161961351063612
2004,22,0.07625980785434189
2004,23,0.06942345560287586
2004,24,0.08337911786036085
2004,25,0.06026607236693493
2004,26,0.08600485630390489
2004,27,0.07213184119358915
2004,28,0.05893081374518968
2004,29,0.05280998573020174
2004,30,0.049297012164000245
2004,31,0.07306377568181562
2004,32,0.05053686028655208
2004,33,0.05168027374783847
2004,34,0.07351332129766398
2004,35,0.06386063639529924
2004,36,0.05358771727918297
2004,37,0.05595448162335872
2004,38,0.058328006381028884
2004,39,0.0170762633567601
2004,40,0.050096091464384956
2004,41,0.0675320040636665
2004,42,0.020866898305413748
2004,43,0.06893167125518122
2004,44,0.06116918865256761
2004,45,0.04112730332989873
2004,46,0.04721701630475209
2004,47,0.03993468714253783
2004,48,0.10013998916342878
2004,49,0.02731375533368333
2004,50,0.06201446846506697
2004,51,0.07038662693476391
2004,52,0.08503895686924563
2004,53,0.04028157598958108
2005,1,0.06666523925107397
2005,2,0.061525768148909366
2005,3,0.09819828459897512
2005,4,0.07318699654293981
2005,5,0.059825071738306534
2005,6,0.042730355121855995
2005,7,0.042275550868367
2005,8,0.0526360788579327
2005,9,0.04082060164623675
2005,10,0.05587787669915344
2005,11,0.04586946314758946
2005,12,0.045018706367879045
2005,13,0.05549382003485314
2005,14,0.03788709568855268
2005,15,0.0315842412528014
2005,16,0.05604493024466552
2005,17,0.05655818168088802
2005,18,0.04442350982424638
2005,19,0.04078598684307204
2005,20,0.05272002108407274
2005,21,0.05397322842009961
2005,22,0.06661685192192981
2005,23,0.060894694094673046
2005,24,0.04556141919619334
2005,25,0.04364303879763658
2005,26,0.05838704226879894
2005,27,0.08159865954242475
2005,28,0.07554694474564595
2005,29,0.054131862852958124
2005,30,0.05378846466478669
2005,31,0.06619561194275374
2005,32,0.06866518687663715
2005,33,0.05837592635178742
2005,34,0.0375548801080716
2005,35,0.04757468688985418
2005,36,0.021091557962096972
2005,37,0.04208236753858468
2005,38,0.052505785445880304
2005,39,0.04296140844289271
2005,40,0.05139069931239586
2005,41,0.06486059616839558
2005,42,0.020906167913459697
2005,43,0.02318670029750908
2005,44,0.0598027342792941
2005,45,0.0278990073742387
2005,46,0.03871479223666499
2005,47,0.05676734025738032
2005,48,0.04935132435328067
2005,49,0.07510440149303374
2005,50,0.05187827538125002
2005,51,0.03713580378832005
2005,52,0.036086395032197995
2006,1,0.057296290456757666
2006,2,0.05495524551522691
2006,3,0.05601923346666567
2006,4,0.04044075121956593
2006,5,0.051374314262152054
2006,6,0.0597434873458427
2006,7,0.061754927828910934
2006,8,0.033221439455842404
2006,9,0.035225180865908944
2006,10,0.04045777510616767
2006,11,0.057545904650835034
2006,12,0.038488939045386805
2006,13,0.03158066630993873
2006,14,0.0456819854421384
2006,15,0.02367269752151952
2006,16,0.04626034783541546
2006,17,0.03689291488995849
2006,18,0.03789852032497837
2006,19,0.04469279159561302
2006,20,0.035646486495300465
2006,21,0.042065020017939575
2006,22,0.0727878724236835
2006,23,0.03820939430588697
2006,24,0.06174875549607421
2006,25,0.0784042892894008
2006,26,0.051833493318907145
2006,27,0.06560025770990523
2006,28,0.04206404480752258
2006,29,0.06802143732509008
2006,30,0.050722298941333115
2006,31,0.04468563175854076
2006,32,0.058790923035398054
2006,33,0.043553109201347244
2006,34,0.05565761843841768
2006,35,0.05394419959930752
2006,36,0.04113354797095163
2006,37,0.0645626368329082
2006,38,0.05326711391629248
2006,39,0.035075886369932835
2006,40,0.04534203003303541
2006,41,0.04513847130428964
2006,42,0.05759273351482315
2006,43,0.045335943466089164
2006,44,0.024336736700220636
2006,45,0.042959265662755
2006,46,0.05156837426152141
2006,47,0.03512011639392922
2006,48,0.061136473320793396
2006,49,0.019545335464481357
2006,50,0.047034975797996925
2006,51,0.05059699477197321
2006,52,0.05021715515006068
2007,1,0.04361803688776114
2007,2,0.05000361580831395
2007,3,0.08436249776202275
2007,4,0.043133930079378484
2007,5,0.05017830190332039
2007,6,0.05053668200965753
2007,7,0.07990186057291702
2007,8,0.07743945900562352
2007,9,0.043686622398284705
2007,10,0.028782405858441766
2007,11,0.06506668419666248
2007,12,0.030915188112859444
2007,13,0.040876029270640296
2007,14,0.03453905603358875
2007,15,0.04835282964568062
2007,16,0.027010563765141427
2007,17,0.04207106190910842
2007,18,0.0452018573418662
2007,19,0.05625930275644206
2007,20,0.042609829956772795
2007,21,0.04149436552903162
2007,22,0.06598073604867638
2007,23,0.05481796735911007
2007,24,0.06748772294692829
2007,25,0.04764780534081378
2007,26,0.08690850760122162
2007,27,0.07151105831078637
2007,28,0.051348442661767475
2007,29,0.0587526416103964
2007,30,0.051372513088915404
2007,31,0.047846511651002004
2007,32,0.04900861310032442
2007,33,0.04269632108596463
2007,34,0.05652334847803051
2007,35,0.05770300680597968
2007,36,0.03258362379275897
2007,37,0.06574637723331199
2007,38,0.02660681406437604
2007,39,0.033494623241670324
2007,40,0.03126984758528107
2007,41,0.039163286708868754
2007,42,0.04588325818631127
2007,43,0.03725776364000761
2007,44,0.017214617077812175
2007,45,0.017063730899120607
2007,46,0.02111945814880454
2007,47,0.04190509394754546
2007,48,0.05513754260026214
2007,49,0.0505862837831259
2007,50,0.07943997059255316
2007,51,0.04917629261776082
2007,52,0.047025059744952954
2008,1,0.04869675058097636
2008,2,0.042013347859395825
2008,3,0.06113343084072353
2008,4,0.04985740625721505
2008,5,0.06154034267878144
2008,6,0.05707810919196339
2008,7,0.07337236088862527
2008,8,0.055750178863076545
2008,9,0.04610834985993776
2008,10,0.07183202475566276
2008,11,0.05040272745835701
2008,12,0.053962969569665044
2008,13,0.028900649804767177
2008,14,0.061641942655162464
2008,15,0.034623541612801616
2008,16,0.02837545421140734
2008,17,0.037931516029420395
2008,18,0.040281587490068584
2008,19,0.02708665354207681
2008,20,0.03193301090569839
2008,21,0.029867322010639106
2008,22,0.056445370482735166
2008,23,0.05714235927975238
2008,24,0.05486032999839314
2008,25,0.06746133423107739
2008,26,0.05666155463603306
2008,27,0.06750188514040298
2008,28,0.07580539614848131
2008,29,0.03777384741753272
2008,30,0.061128877180501306
2008,31,0.0595349892926175
2008,32,0.06341383206173046
2008,33,0.059136487994622906
2008,34,0.036362854925279554
2008,35,0.060554307372390696
2008,36,0.02651448719493318
2008,37,0.06471191354460067
2008,38,0.029586498837440335
2008,39,0.03928593417648583
2008,40,0.02347623874931581
2008,41,0.028975099544267767
2008,42,0.026279363624547594
2008,43,0.03610739103099905
2008,44,0.025507547523119765
2008,45,0.024260893521696716
2008,46,0.038232951899249266
2008,47,0.023577758928310277
2008,48,0.04005811359098716
2008,49,0.041663856572809535
2008,50,0.05359337696460392
2008,51,0.09380993227275401
2008,52,0.06823901117586069
2009,1,0.054555569805227064
