DistanceGroup,percentage
1,0.09125316163080364
2,0.10946088456661768
3,0.12638140216395788
4,0.1408275431352104
5,0.15142853155608366
6,0.15797740018682774
7,0.16858827528427442
8,0.17525566944085058
9,0.18937652171886157
10,0.21065770321207053
11,0.21405063168968547
12,0.2022257070387234
13,0.18882836905997447
14,0.18276265730172667
15,0.193161539010636
16,0.19127346524606798
17,0.16409549254503145
18,0.25801677355698077
19,0.1758383490971625
20,0.16885266777027888
21,0.17226231565735803
22,0.1784207353827607
23,0.23058218702237043
25,0.1846497568668682
